feature,source,gain,group,gain_share
num__id_19,id_19,0.773670494556427,identity,0.0004788094887307998
cat__id_15_New,id_15,0.772304892539978,identity,0.0004779643444375816
num__V339,V339,0.7679073214530945,V,0.00047524277397756906
num__V17,V17,0.7638676166534424,V,0.000472742679940955
num__V134,V134,0.758777379989624,V,0.00046959243234631333
cat__id_37_T,id_37,0.7523497343063354,identity,0.0004656144885511029
num__V21,V21,0.7459153532981873,V,0.000461632376395492
num__V264,V264,0.7435919046401978,V,0.0004601944396099331
num__V260,V260,0.7406206130981445,V,0.0004583555655748876
num__D7,D7,0.7404201030731201,D,0.000458231473854649
num__V229,V229,0.7401930689811707,V,0.0004580909669098248
num__V233,V233,0.7394057512283325,V,0.00045760371140071915
num__V202,V202,0.7389522194862366,V,0.00045732302950437685
num__D9,D9,0.7358765602111816,D,0.00045541956432719764
num__V230,V230,0.7346135377883911,V,0.00045463790453175904
cat__M8_<missing>,M8,0.7325060963630676,M,0.0004533336503841742
num__V221,V221,0.7308282852172852,V,0.00045229528598673193
num__V199,V199,0.7219305038452148,V,0.0004467886236807821
cat__M8_F,M8,0.7170810103416443,M,0.00044378736730434597
cat__M7_<missing>,M7,0.7125572562217712,M,0.00044098770464107986
num__V186,V186,0.7120558619499207,V,0.00044067740156419313
num__V10,V10,0.7100605368614197,V,0.0004394425340176097
num__V273,V273,0.7025721669197083,V,0.00043480812879155334
num__V11,V11,0.7013888955116272,V,0.0004340758253343071
num__V104,V104,0.7011330127716064,V,0.0004339174645272369
cat__M8_T,M8,0.6867874264717102,M,0.0004250392626439726
num__V218,V218,0.685454249382019,V,0.0004242141855017085
num__V242,V242,0.6847713589668274,V,0.0004237915580228817
cat__M7_F,M7,0.6792256236076355,M,0.0004203594112231083
num__V236,V236,0.6623119115829468,V,0.0004098918467185005
num__V95,V95,0.6548036932945251,V,0.0004052451577401137
num__V222,V222,0.6271218061447144,V,0.0003881133809351784
cat__id_29_NotFound,id_29,0.6123982071876526,identity,0.0003790012344354596
cat__M9_<missing>,M9,0.5894118547439575,M,0.0003647754319280733
num__V204,V204,0.5373263359069824,V,0.00033254072630070034
cat__id_16_Found,id_16,0.5080055594444275,identity,0.00031439467305709683
num__V179,V179,0.5029487609863281,V,0.0003112651197118766
num__V117,V117,0.49788665771484375,V,0.00030813228332173925
cat__id_12_Found,id_12,0.4474447965621948,identity,0.0002769148051846454
num__V240,V240,0.4127386808395386,V,0.00025543587113983023
cat__M3_<missing>,M3,0.3903006315231323,M,0.00024154940267955298
cat__card4_<missing>,card4,0.34018412232398987,card,0.00021053327848268575
cat__ProductCD_W,ProductCD,0.2747291326522827,product,0.00017002446968087341
cat__M2_<missing>,M2,0.269492506980896,M,0.00016678362480177693
cat__id_29_Found,id_29,0.2589854896068573,identity,0.0001602810379093642
num__id_22,id_22,0.2023334503173828,identity,0.0001252202023745898
cat__DeviceType_<missing>,DeviceType,0.01961856335401535,identity,1.2141543919875807e-05
